Utterance	Intents
read it	emailSkill, l_general
2	l_general, None
go away	l_general, q_chitchat
3	l_general, None
i don't understand	l_general, q_chitchat
sounds good	l_general, q_chitchat
show me the next	emailSkill, l_general
okay	emailSkill, l_general
goodbye	l_general, q_chitchat
previous one please	emailSkill, l_general
just do it	emailSkill, l_general
show the previous one	emailSkill, l_general
shut up	l_general, q_chitchat
what should i do	l_general, q_chitchat
pardon	l_general, q_chitchat
