Label	Weight	Text
emailSkill	1	do i receive new message
emailSkill	1	read new email from david ma
emailSkill	1	read the last email message
emailSkill	1	read my recent email
emailSkill	1	never mind, forget about the mail
emailSkill	1	send lori a new flagged email
emailSkill	1	show the next emails by wong
emailSkill	1	forward emails to gabriel
emailSkill	1	make a new email about weather forecast
emailSkill	1	read out the email from liu about transfer
emailSkill	1	show me the one before
emailSkill	1	write an email which title is hello and context is let's have meeting together
emailSkill	1	neither of them
emailSkill	1	start up a new email to michelle about watching baseball
emailSkill	1	send email to heather about car
emailSkill	1	the email from thomas should be flagged
emailSkill	1	forward to brian potter tonight
emailSkill	1	don't send out
emailSkill	1	don ' t read it
emailSkill	1	send important email to evelyn and gary
emailSkill	1	turn flag on
emailSkill	1	ok, good, just send it
emailSkill	1	i confirm that i want to send this email
emailSkill	1	i want to see the last email
emailSkill	1	flag the email
emailSkill	1	show me emails from clara chan
emailSkill	1	yeah right, send to alex
emailSkill	1	send a new email to nicholas and jesse about coupons
emailSkill	1	read it
emailSkill	1	will you send a marked non urgent email to james
emailSkill	1	read me dylan's email sent on yesterday
emailSkill	1	send my housekeeping doc to jeffrey
emailSkill	1	add another line to the message
emailSkill	1	flag
emailSkill	1	whether i receive new email
emailSkill	1	send a email to leehom wong about the piano concert saying it's wonderful
emailSkill	1	don ' t read
emailSkill	1	insert more text in my email
emailSkill	1	send an email marked for follow up to christian
emailSkill	1	edit email so i can type an additional message
emailSkill	1	send email to partone.parttwo@outlook.com
emailSkill	1	email my brother
emailSkill	1	i'd like to add more to the email
emailSkill	1	read my recent email message please
emailSkill	1	no, i don't want to send this message
emailSkill	1	add more text
emailSkill	1	of course, just delete the mail
emailSkill	1	remove emails that are duplicate
emailSkill	1	please check my emails
emailSkill	1	okay cancel sending the mail
emailSkill	1	don't read the email
emailSkill	1	this email needs to be flagged
emailSkill	1	email to amy cooper about haha saying hello
emailSkill	1	forward the last email to susan
emailSkill	1	add something
emailSkill	1	check my gmail
emailSkill	1	show latest emails
emailSkill	1	check my message
emailSkill	1	does anyone send message to me just then
emailSkill	1	forward the email from john smith to michelle by saying fyi
emailSkill	1	i want to check my inbox
emailSkill	1	reply with hello
emailSkill	1	put it in the recycle bin
emailSkill	1	could you please check my emails
emailSkill	1	could you please check my messages
emailSkill	1	ok, good to me, send it please
emailSkill	1	add flag to it
emailSkill	1	email the file to henry mathew
emailSkill	1	check up email
emailSkill	1	stop reading
emailSkill	1	put some additional lines to this message
emailSkill	1	exit
emailSkill	1	don't send it
emailSkill	1	do i have new message
emailSkill	1	write an email about the fundraiser
emailSkill	1	please add it was terrible
emailSkill	1	clear my inbox
emailSkill	1	the email to ruth needs to be flagged
emailSkill	1	find emails that contain malta
emailSkill	1	more text
